text,food
Just posted a photo Heineken Experience,['heineken']
"I'm at Koko Coffee &amp; Design - in Amsterdam, Noord-Holland w/",['coffee']
Layers of coffee lovers C \u2022 T coffee &amp; coconuts,['coffee']
Mushroom soup \U0001f37d with a nice shrimp salad with potatoes and egg foodporn foodpic dinner food\u2026,"['soup', 'shrimp', 'salad', 'potatoes', 'egg']"
Coffee time \U0001f375 amsterdam netherland vacation freinds cofee,['coffee']
Why doesn\u2019t Apple implement device recognition through a string? One AppStore changes content based on device.,['apple']
Say yes to whipped cream (on your nose). Starbucks Overtoom,"['cream', 'whipped cream']"
Danny atacks our salmon taco lebigfish fishisgood foodhallen oysters De Foodhallen,"['salmon', 'taco']"
"Great combi with the pear! Bit sweet for a tripel, but great match.... (Zware Jongen) photo",['pear']
Gin and Tonic Frits,['gin']
Easy like a Monday morning! breakfastbowl healthyfood figs coconut blueberry earlymornings\u2026,"['coconut', 'blueberry']"
The yeast in this beer seem delighted. Me too.... (Westmalle Trappist Tripel) photo,['beer']
\u2716\ufe0fDeveloped Film \u2716\ufe0f \U0001f495 summer tb photography Milkshake festival Amsterdam,['milkshake']
"Also thinking about this double layer cheese, spring onion and mushroom toastie from Greg\u2026","['cheese', 'onion']"
"Dinner at the best Thai in Amsterdam. We even had to wait outside! Of course, I had duck. ;-)",['duck']
Dreaming \U0001f495\U0001f60d\U0001f60b chocolate amsterdam Crepes &amp; Waffles,['chocolate']
5 years Vogue Netherlands it's a hard life! Champagne! moetmoment champagne duchess\u2026,['champagne']
Sun setting on this trip to Amsterdam w/ DD gin cynar Negroni rosalias_menagerie cocktails\u2026,['gin']
"I'm at Heineken Experience - in Amsterdam, Noord-Holland w/",['heineken']
amsterdamexperience \U0001f1f3\U0001f1f1 Heineken Experience,['heineken']
Great Saturday everybody! amsterdamcoffeefestival Amsterdam coffee festival,['coffee']
"Acrobatic coffee cocktail makers, right here. amsterdamcoffeefestival2017 ACF17","['coffee', 'cocktail']"
Hear ye cosmic sherpas of the rainbow. I've done a lovely dose of mushrooms and I'm having a\u2026,['mushrooms']
Water and motd in bed :) citizenM Schiphol Airport,['water']
