food|lat|lon
salmon|52.3697884047|4.88904725211
chocolate|52.3737145|4.896016
steak|51.888878|4.634811
avocado|52.3757652|4.8912766
bacon|52.3757652|4.8912766
lemon|52.3757652|4.8912766
mayonnaise|52.3757652|4.8912766
salad|52.3757652|4.8912766
egg|52.3757652|4.8912766
ham|52.3757652|4.8912766
sauce|52.3757652|4.8912766
coffee|52.37121|4.87088
chips|52.3756696412|4.89637173793
frites|52.3756696412|4.89637173793
heineken|52.3731|4.8922
bitterballen|52.3731|4.8922
cheese|52.3554743|4.8922444
bacon|52.3554743|4.8922444
beef|52.35631|4.89273
cheese|52.35631|4.89273
mushrooms|52.35631|4.89273
roti|52.3748643173|4.86004110428
vegetarian|52.3748643173|4.86004110428
potatoes|52.3748643173|4.86004110428
beans|52.3748643173|4.86004110428
tofu|52.3748643173|4.86004110428
tempeh|52.3748643173|4.86004110428
pumpkin|52.3748643173|4.86004110428
vegetables|52.3782716846|4.87471615756
soup|52.3897436505|4.91018785941
shrimp|52.3735782524|4.90028497501
tiropita|52.3703440356|4.88809218123
feta|52.3703440356|4.88809218123
cheese|52.3703440356|4.88809218123
spanakopita|52.3703440356|4.88809218123
spinach|52.3703440356|4.88809218123
meat|52.35259048|4.89475366
pistachio|52.3805531|4.8914562
vanilla|52.3805531|4.8914562
raspberry|52.3805531|4.8914562
chocolate|52.3805531|4.8914562
macaroon|52.3805531|4.8914562
bacon|52.3748999|4.88373
pastry|52.3561967|4.8934656
steak|52.3556397751|4.88850113152
tartare|52.3556397751|4.88850113152
egg|52.3556397751|4.88850113152
steak tartare|52.3556397751|4.88850113152
seafood|52.3597107|4.8776941
apple|52.3775918|4.8862557
strudel|52.3775918|4.8862557
cinnamon|52.3775918|4.8862557
cream|52.3775918|4.8862557
chocolate|52.3775918|4.8862557
vanilla|52.3775918|4.8862557
sauce|52.3775918|4.8862557
pancake|52.3775918|4.8862557
apple strudel|52.3775918|4.8862557
ice cream|52.3775918|4.8862557
whipped cream|52.3775918|4.8862557
beef|52.3690683|4.87894403524
bread|52.3690683|4.87894403524
tomato|52.3690683|4.87894403524
mango|52.3690683|4.87894403524
milkshake|52.3690683|4.87894403524
asparagus|52.3845845426|4.87524747849
soup|52.3845845426|4.87524747849
butter|52.3558499|4.89807
bean|52.3558499|4.89807
bean|52.3558499|4.89807
salad|52.3558499|4.89807
bean salad|52.3558499|4.89807
poffertjes|52.38623|4.87299
tea|52.3757652|4.8912766
jam|52.3833333333|4.9
bread|52.3833333333|4.9
omelette|52.3515573|4.8916078
eggs|52.3515573|4.8916078
miso|52.3722271716|4.88604606284
soup|52.3722271716|4.88604606284
sushi|52.3722271716|4.88604606284
miso soup|52.3722271716|4.88604606284
risotto|52.3571722252|4.87457029453
mushrooms|52.3571722252|4.87457029453
sandwich|52.3524205155|4.90297760422
pumpkin|52.3832585492|4.90372716623
ravioli|52.3832585492|4.90372716623
sauce|52.3832585492|4.90372716623
steak|52.3807793|4.8907199
tartare|52.3807793|4.8907199
sandwich|52.3807793|4.8907199
steak tartare|52.3807793|4.8907199
pastry|52.3807793|4.8907199
chocolate|52.306649552|4.76509957376
prawn|52.3651765526|4.88429447877
chips|52.3651765526|4.88429447877
tofu|52.3778189584|4.88588367085
pastry|52.3778189584|4.88588367085
tempeh|52.3778189584|4.88588367085
tzatziki|52.3778189584|4.88588367085
salad|52.3778189584|4.88588367085
injera|52.3612538|4.8651237
cucumber|52.37308|4.87936
mint|52.37308|4.87936
salad|52.3640199|4.8741
chocolate|52.3548241|4.8889689
sandwich|52.3721704729|4.88769039998
cheese|52.3721704729|4.88769039998
pickles|52.3721704729|4.88769039998
mustard|52.3721704729|4.88769039998
duck|52.37182|4.89623
rice|52.37182|4.89623
sauce|52.37182|4.89623
cucumber|52.37182|4.89623
oil|52.37182|4.89623
dim sum|52.37182|4.89623
chili oil|52.37182|4.89623
goat|52.3748999|4.88373
cheese|52.3748999|4.88373
nuts|52.3748999|4.88373
spinach|52.3748999|4.88373
bacon|52.3748999|4.88373
pine nuts|52.3748999|4.88373
beer|52.370172837|4.86660442042
spinach|52.370172837|4.86660442042
feta|52.370172837|4.86660442042
cheese|52.370172837|4.86660442042
kebab|52.370172837|4.86660442042
pita|52.370172837|4.86660442042
bread|52.370172837|4.86660442042
cheese|52.3675722781|4.86746511354
sandwich|52.3675722781|4.86746511354
cheese sandwich|52.3675722781|4.86746511354
coconut|52.3663384325|4.89821061696
lime|52.3663384325|4.89821061696
curry|52.3663384325|4.89821061696
sauce|52.3663384325|4.89821061696
rice|52.3663384325|4.89821061696
cream|48.8459212003|2.29609066068
chocolate|48.8459212003|2.29609066068
vanilla|48.8459212003|2.29609066068
ice cream|48.8459212003|2.29609066068
potato|52.3675|4.8729699
salad|52.3675|4.8729699
pomegranate|52.3675|4.8729699
sweet potato|52.3675|4.8729699
mint|52.37446|4.88981
tea|52.37446|4.88981
apple|52.37446|4.88981
pretzel|52.3674961001|4.86733996359
pizza|52.3717665|4.8733894
mozzarella|52.3717665|4.8733894
sausage|52.3717665|4.8733894
mushrooms|52.3717665|4.8733894
parmesan|52.3717665|4.8733894
cheese|52.3717665|4.8733894
oil|52.3717665|4.8733894
cocktail|52.3717665|4.8733894
lemon|52.3717665|4.8733894
sorbet|52.3717665|4.8733894
fried chicken|52.3625593712|4.86182842533
rice|52.3658282|4.8728878
noodles|52.3658282|4.8728878
fish|52.3658282|4.8728878
sprouts|52.3658282|4.8728878
carrot|52.3658282|4.8728878
cucumber|52.3658282|4.8728878
mint|52.3658282|4.8728878
lemon|52.3597107|4.8776941
salad|52.3597107|4.8776941
fish|52.3597107|4.8776941
bun|52.3677878889|4.86809134483
fish|52.3677878889|4.86809134483
pickles|52.3677878889|4.86809134483
fish|52.3677878889|4.86809134483
soup|52.3677878889|4.86809134483
shrimp|52.3677878889|4.86809134483
dumpling|52.3677878889|4.86809134483
coconut|52.3677878889|4.86809134483
lime|52.3677878889|4.86809134483
fish soup|52.3677878889|4.86809134483
steak|52.3757922|4.885494
bread|52.3711027506|4.89363902557
bacon|52.3711027506|4.89363902557
onion|52.3711027506|4.89363902557
cheese|52.3711027506|4.89363902557
pork|52.3558499|4.89807
egg|52.3558499|4.89807
fish|52.36747|4.86788
wine|52.36747|4.86788
champagne|52.36747|4.86788
gin|52.36747|4.86788
peas|52.3663384325|4.89821061696
sauce|52.3663384325|4.89821061696
rice|52.3663384325|4.89821061696
sesame|52.3663384325|4.89821061696
lime|52.3663384325|4.89821061696
chocolate|52.3663384325|4.89821061696
cake|52.3663384325|4.89821061696
sugar|52.3663384325|4.89821061696
fried chicken|52.3663384325|4.89821061696
chocolate cake|52.3663384325|4.89821061696
pork|52.3625593712|4.86182842533
egg|52.3625593712|4.86182842533
beans|52.3625593712|4.86182842533
salad|52.3625593712|4.86182842533
cheese|52.3779535|4.8798215
sauce|52.3779535|4.8798215
pasta|52.3779535|4.8798215
fried chicken|52.3779535|4.8798215
coffee|52.37838|4.88235
cake|52.37838|4.88235
cappuccino|52.37838|4.88235
banana|52.37838|4.88235
coffee cake|52.37838|4.88235
salmon|52.3675440202|4.86756732019
tempura|52.3675440202|4.86756732019
shrimp|52.3675440202|4.86756732019
sauce|52.3675440202|4.86756732019
sushi|52.3675440202|4.86756732019
coffee|52.3099585523|4.76160019695
cappuccino|52.3099585523|4.76160019695
sushi|52.3545|4.88747
crab|52.3545|4.88747
tuna|52.3545|4.88747
sushi|52.3545|4.88747
rice|52.3545|4.88747
tuna|52.3545|4.88747
tartare|52.3545|4.88747
tea|52.3833399|4.88614
latte|52.3833399|4.88614
coffee|52.3707358761|4.86356225635
sandwich|52.3707358761|4.86356225635
cappuccino|52.3707358761|4.86356225635
bread|52.3707358761|4.86356225635
cucumber|52.3707358761|4.86356225635
tomato|52.3707358761|4.86356225635
chips|52.3707358761|4.86356225635
coffee|52.3842894|4.8846287
sandwich|52.3842894|4.8846287
cappuccino|52.3842894|4.8846287
salad|52.3698069|4.8771134
meat|52.3698069|4.8771134
cheese|52.3675722781|4.86746511354
sandwich|52.3675722781|4.86746511354
sourdough|52.3675722781|4.86746511354
