type|url|max_page
voorgerechten|http://allrecipes.nl/recepten/voorgerechten-recepten.aspx?page=|121
hoofdgerechten|http://allrecipes.nl/recepten/hoofdgerechten-recepten.aspx?page=|578
bijgerechten|http://allrecipes.nl/recepten/bijgerechten-recepten.aspx?page=|253
dessert|http://allrecipes.nl/recepten/dessert-recepten.aspx?page=|142
hapjes|http://allrecipes.nl/recepten/hapjes-recepten.aspx?page=|92
brood|http://allrecipes.nl/recepten/brood-recepten.aspx?page=|38
gebak|http://allrecipes.nl/recepten/label-3584/gebak-recepten.aspx?page=|197
dranken|http://allrecipes.nl/recepten/dranken-recepten.aspx?page=|56
broodjes|http://allrecipes.nl/recepten/broodjes-recepten.aspx?page=|48
salades|http://allrecipes.nl/recepten/salades-recepten.aspx?page=|106
soepen|http://allrecipes.nl/recepten/soepen-recepten.aspx?page=|90
sauzen|http://allrecipes.nl/recepten/sauzen-recepten.aspx?page=|50
snoep|http://allrecipes.nl/recepten/snoep-recepten.aspx?page=|26
maaltijd|http://allrecipes.nl/recepten/label-3581/maaltijd-recepten.aspx?page=|767
