type|url|max_page
cake|http://allrecipes.co.uk/recipes/cake-recipes.aspx?page=|434
bread|http://allrecipes.co.uk/recipes/bread-recipes.aspx?page=|97
pies and tarts|http://allrecipes.co.uk/recipes/pie-recipes.aspx?page=|127
soup|http://allrecipes.co.uk/recipes/soup-recipes.aspx?page=|209
salad|http://allrecipes.co.uk/recipes/salad-recipes.aspx?page=|179
main course|http://allrecipes.co.uk/recipes/main-recipes.aspx?page=|1164
dessert|http://allrecipes.co.uk/recipes/dessert-recipes.aspx?page=|342
biscuits and cookies|http://allrecipes.co.uk/recipes/biscuit-recipes.aspx?page=|168
pancakes|http://allrecipes.co.uk/recipes/tag-2011/pancakes.aspx?page=|39
breakfast|http://allrecipes.co.uk/recipes/breakfast-recipes.aspx?page=|113
sandwiches|http://allrecipes.co.uk/recipes/sandwiches-recipes.aspx?page=|39
starters|http://allrecipes.co.uk/recipes/starters-recipes.aspx?page=|235
side dish|http://allrecipes.co.uk/recipes/side-dish-recipes.aspx?page=|221
sweets|http://allrecipes.co.uk/recipes/sweets-recipes.aspx?page=|43
preserves|http://allrecipes.co.uk/recipes/tag-7772/preserves-recipes.aspx?page=|43
drink|http://allrecipes.co.uk/recipes/drink-recipes.aspx?page=|126
